128, 64, 0.009036, 1813154.957079, 0.000071, 
128, 128, 0.015941, 2055567.829908, 0.000062, 
128, 256, 0.035700, 1835767.905101, 0.000070, 
128, 512, 0.063934, 2050111.262231, 0.000062, 
256, 1, 0.000254, 2015740.095271, 0.000127, 
256, 2, 0.000369, 2772040.294327, 0.000092, 
256, 4, 0.000552, 3712808.463601, 0.000069, 
256, 8, 0.001015, 4035042.611043, 0.000063, 
256, 16, 0.002125, 3854552.743046, 0.000066, 
256, 32, 0.004147, 3951151.764280, 0.000065, 
256, 64, 0.008308, 3943925.676863, 0.000065, 
256, 128, 0.016622, 3942686.420737, 0.000065, 
256, 256, 0.033746, 3884080.444122, 0.000066, 
256, 512, 0.066403, 3947776.594920, 0.000065, 
512, 1, 0.000258, 3973782.347938, 0.000129, 
512, 2, 0.000495, 4137315.228597, 0.000124, 
512, 4, 0.000961, 4261472.997539, 0.000120, 
512, 8, 0.001963, 4173336.091304, 0.000123, 
512, 16, 0.003711, 4414819.501701, 0.000116, 
512, 32, 0.007491, 4374536.003100, 0.000117, 
512, 64, 0.015024, 4361994.710153, 0.000117, 
512, 128, 0.029928, 4379551.019864, 0.000117, 
512, 256, 0.058501, 4481041.699963, 0.000114, 
512, 512, 0.115323, 4546242.172579, 0.000113, 
1024, 1, 0.000301, 6813697.927705, 0.000150, 
1024, 2, 0.000609, 6720350.718669, 0.000152, 
1024, 4, 0.001046, 7833956.838178, 0.000131, 
1024, 8, 0.002134, 7677424.464809, 0.000133, 
1024, 16, 0.004831, 6782280.877363, 0.000151, 
1024, 32, 0.009669, 6778126.105072, 0.000151, 
1024, 64, 0.018012, 7276766.915262, 0.000141, 
1024, 128, 0.038170, 6867717.194217, 0.000149, 
1024, 256, 0.077246, 6787262.542335, 0.000151, 
1024, 512, 0.150870, 6950189.635952, 0.000147, 
